Country Name,Year,GDP,Inflation,Unemployment,LifeExp,Education
Namibia,2021,3.60382919248703,3.61690530108814,20.931,60.85,26.6057345682932
Netherlands,2021,6.2768306708326,2.67572008805385,4.209,81.309756097561,89.3898620605469
Norway,2021,3.90868676830634,3.48388055266669,4.359,83.1634146341463,93.9243011474609
Nepal,2021,4.838149614115,4.12676744440695,12.241,68.385,15.243139284484
New Zealand,2021,4.53540565716095,3.94112060778728,3.776,82.2073170731707,79.4128875732422
Oman,2021,2.5821749892893,1.68221185876085,1.9,75.969,43.8433613964625
Pakistan,2021,6.51388575852702,9.49641577285205,6.338,65.773,12.3810012807012
Panama,2021,16.4671248604202,1.63070337301898,10.177,77.004,52.7147829654218
Philippines,2021,5.71473313185116,3.92718022100332,3.398,66.675,33.6166173848126
Poland,2021,6.92718266052501,5.05502704719272,3.268,75.3512195121951,72.2060623168945
Portugal,2021,5.55875672070374,1.26565719069044,6.712,81.3780487804878,72.5122375488281
West Bank and Gaza,2021,7.01198227592003,1.23748102831369,26.39,73.89,44.2081176768623
Qatar,2021,1.62693587314129,2.30446565742003,0.14,81.083,31.2813974439236
Romania,2021,5.58735072538869,5.05232876096582,5.59,72.809756097561,55.2656097412109
Russian Federation,2021,5.86649177292595,6.69445891957612,4.749,69.900243902439,54.9542479280814
Saudi Arabia,2021,6.51959698325419,3.06328988941548,6.621,77.089,74.3924865722656
Senegal,2021,6.54400109964304,2.18032278088147,3.436,66.868,14.6823561354842
Singapore,2021,9.7568044629903,2.31610315765146,4.64,83.0926829268293,97.0989103061521
El Salvador,2021,11.9047617015957,3.46692585313082,4.327,69.941,30.3043325211094
Serbia,2021,7.94905650472278,4.08510285335102,9.843,72.780487804878,69.1800231933594
Suriname,2021,-2.43538583612838,59.1196626251977,8.706,68.943,8.45416298008342
Slovak Republic,2021,5.6558588065555,3.14960629921268,6.894,74.6146341463415,50.7342491149902
Slovenia,2021,8.41686457725321,1.91706506089259,4.744,80.6756097560976,82.2400436401367
